caseid,window_index,window_start_s,window_end_s,anomaly_rank,anomaly_score,iforest_decision_function,anomaly_label
4,62,18600.0,18900.0,1,0.238905,-0.238905,1
4,64,19200.0,19500.0,2,0.104394,-0.104394,1
4,63,18900.0,19200.0,3,0.103739,-0.103739,1
8,6,1800.0,2100.0,4,0.095499,-0.095499,1
4,61,18300.0,18600.0,5,0.090201,-0.090201,1
4,66,19800.0,20100.0,6,0.084793,-0.084793,1
4,65,19500.0,19800.0,7,0.080977,-0.080977,1
4,60,18000.0,18300.0,8,0.070714,-0.070714,1
8,11,3300.0,3600.0,9,0.056455,-0.056455,1
8,2,600.0,900.0,10,0.047437,-0.047437,1
8,5,1500.0,1800.0,11,0.039405,-0.039405,1
4,67,20100.0,20400.0,12,0.023884,-0.023884,1
8,7,2100.0,2400.0,13,0.011295,-0.011295,1
8,4,1200.0,1500.0,14,0.002861,-0.002861,1
9,8,2400.0,2700.0,15,-0.004292,0.004292,0
8,3,900.0,1200.0,16,-0.013578,0.013578,0
4,4,1200.0,1500.0,17,-0.016569,0.016569,0
8,9,2700.0,3000.0,18,-0.016994,0.016994,0
9,11,3300.0,3600.0,19,-0.019782,0.019782,0
4,9,2700.0,3000.0,20,-0.021449,0.021449,0
9,9,2700.0,3000.0,21,-0.026263,0.026263,0
8,13,3900.0,4200.0,22,-0.026866,0.026866,0
4,14,4200.0,4500.0,23,-0.027651,0.027651,0
4,5,1500.0,1800.0,24,-0.02906,0.02906,0
8,10,3000.0,3300.0,25,-0.03039,0.03039,0
8,16,4800.0,5100.0,26,-0.039696,0.039696,0
9,10,3000.0,3300.0,27,-0.045864,0.045864,0
8,15,4500.0,4800.0,28,-0.046384,0.046384,0
8,8,2400.0,2700.0,29,-0.048748,0.048748,0
8,12,3600.0,3900.0,30,-0.049893,0.049893,0
4,34,10200.0,10500.0,31,-0.0555,0.0555,0
4,3,900.0,1200.0,32,-0.05794,0.05794,0
4,10,3000.0,3300.0,33,-0.059886,0.059886,0
